@index,measuredValue.basicData.@xsi:type,measuredValue.basicData.measurementOrCalculationPeriod,measuredValue.basicData.forVehiclesWithCharacteristicsOf.vehicleType,measuredValue.basicData.averageVehicleSpeed.speed,DateTime,ID
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:20:00.000+02:00,14043021
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:20:00.000+02:00,14043022
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:20:00.000+02:00,14043023
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:20:00.000+02:00,14043024
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:20:00.000+02:00,14043025
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:20:00.000+02:00,14043027
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:20:00.000+02:00,14043028
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:20:00.000+02:00,14043029
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:20:00.000+02:00,14043030
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:20:00.000+02:00,14043031
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:20:00.000+02:00,14043032
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:20:00.000+02:00,14043034
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:20:00.000+02:00,14043035
21,TrafficSpeed,900.0,carOrLightVehicle,254.0,2025-09-03T02:20:00.000+02:00,14043036
21,TrafficSpeed,900.0,carOrLightVehicle,236.0,2025-09-03T02:20:00.000+02:00,14043044
21,TrafficSpeed,900.0,carOrLightVehicle,173.0,2025-09-03T02:20:00.000+02:00,4001012
21,TrafficSpeed,900.0,carOrLightVehicle,187.0,2025-09-03T02:20:00.000+02:00,4001013
21,TrafficSpeed,900.0,carOrLightVehicle,176.0,2025-09-03T02:20:00.000+02:00,4005011
21,TrafficSpeed,900.0,carOrLightVehicle,177.0,2025-09-03T02:20:00.000+02:00,4005012
21,TrafficSpeed,900.0,carOrLightVehicle,0.0,2025-09-03T02:20:00.000+02:00,4005013
21,TrafficSpeed,900.0,carOrLightVehicle,111.0,2025-09-03T02:20:00.000+02:00,4005014
21,TrafficSpeed,900.0,carOrLightVehicle,177.0,2025-09-03T02:20:00.000+02:00,4005015
21,TrafficSpeed,900.0,carOrLightVehicle,191.0,2025-09-03T02:20:00.000+02:00,4005016
21,TrafficSpeed,900.0,carOrLightVehicle,165.0,2025-09-03T02:20:00.000+02:00,4012011
21,TrafficSpeed,900.0,carOrLightVehicle,173.0,2025-09-03T02:20:00.000+02:00,4012012
21,TrafficSpeed,900.0,carOrLightVehicle,177.0,2025-09-03T02:20:00.000+02:00,4012013
21,TrafficSpeed,900.0,carOrLightVehicle,170.0,2025-09-03T02:20:00.000+02:00,4012014
21,TrafficSpeed,900.0,carOrLightVehicle,175.0,2025-09-03T02:20:00.000+02:00,4012015
21,TrafficSpeed,900.0,carOrLightVehicle,197.0,2025-09-03T02:20:00.000+02:00,4012016
21,TrafficSpeed,900.0,carOrLightVehicle,106.0,2025-09-03T02:20:00.000+02:00,4014011
21,TrafficSpeed,900.0,carOrLightVehicle,101.0,2025-09-03T02:20:00.000+02:00,4014012
21,TrafficSpeed,900.0,carOrLightVehicle,112.0,2025-09-03T02:20:00.000+02:00,4014013
21,TrafficSpeed,900.0,carOrLightVehicle,116.0,2025-09-03T02:20:00.000+02:00,4014014
21,TrafficSpeed,900.0,carOrLightVehicle,120.0,2025-09-03T02:20:00.000+02:00,4014015
21,TrafficSpeed,900.0,carOrLightVehicle,128.0,2025-09-03T02:20:00.000+02:00,4014016
21,TrafficSpeed,900.0,carOrLightVehicle,148.0,2025-09-03T02:20:00.000+02:00,4019011
21,TrafficSpeed,900.0,carOrLightVehicle,140.0,2025-09-03T02:20:00.000+02:00,4019012
21,TrafficSpeed,900.0,carOrLightVehicle,161.0,2025-09-03T02:20:00.000+02:00,4019013
21,TrafficSpeed,900.0,carOrLightVehicle,146.0,2025-09-03T02:20:00.000+02:00,4020013
21,TrafficSpeed,900.0,carOrLightVehicle,161.0,2025-09-03T02:20:00.000+02:00,4020014
